post_id,title,category,score,num_comments,author,collected_at
47719602,You can't trust macOS Privacy and Security settings,entertainment,124,41,zdw,2026-04-10 22:19:30
47719942,WireGuard makes new Windows release following Microsoft signing resolution,worldnews,72,30,zx2c4,2026-04-10 22:19:30
47719740,1D Chess,worldnews,90,12,burnt-resistor,2026-04-10 22:19:30
47719274,Helium Is Hard to Replace,worldnews,71,33,JumpCrisscross,2026-04-10 22:19:30
47720419,Industrial design files for Keychron keyboards and mice,science,21,2,stingraycharles,2026-04-10 22:19:30
47719975,Bluesky April 2026 Outage Post-Mortem,sports,20,3,jcalabro,2026-04-10 22:19:30
47717847,CPU-Z and HWMonitor compromised,technology,51,34,pashadee,2026-04-10 22:19:30
47676174,Mysteries of Dropbox: Testing of a Distributed Sync Service (2016) [pdf],science,73,15,JackeJR,2026-04-10 22:19:30
47718470,Code is run more than read (2023),technology,84,45,facundo_olano,2026-04-10 22:19:30
47669923,Clojure on Fennel Part One: Persistent Data Structures,technology,30,0,roxolotl,2026-04-10 22:19:30
47716490,FBI used iPhone notification data to retrieve deleted Signal messages,technology,372,180,01-_-,2026-04-10 22:19:30
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,538,212,speckx,2026-04-10 22:19:30
47719486,France to ditch Windows for Linux to reduce reliance on US tech,technology,154,56,Teever,2026-04-10 22:19:30
47712718,I still prefer MCP over skills,technology,369,309,gmays,2026-04-10 22:19:30
47713495,A new trick brings stability to quantum operations,technology,201,47,joko42,2026-04-10 22:19:30
47714273,Penguin 'Toxicologists' Find PFAS Chemicals in Remote Patagonia,technology,104,42,giuliomagnifico,2026-04-10 22:19:30
47686431,C++: Freestanding Standard Library,science,17,2,ingve,2026-04-10 22:19:30
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,technology,44,23,fanf2,2026-04-10 22:19:30
47708818,Native Instant Space Switching on macOS,science,594,288,PaulHoule,2026-04-10 22:19:30
47690609,Deterministic Primality Testing for Limited Bit Width,technology,13,1,ibobev,2026-04-10 22:19:30
47712656,We've raised $17M to build what comes after Git,technology,257,559,ellieh,2026-04-10 22:19:30
47680005,DRAM has a design flaw from 1966. I bypassed it [video],worldnews,350,123,surprisetalk,2026-04-10 22:19:30
47718114,US summons bank bosses over cyber risks from Anthropic's latest AI model,technology,59,32,ascold,2026-04-10 22:19:30
47675906,Generative art over the years,sports,212,56,evakhoury,2026-04-10 22:19:30
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,34,11,breve,2026-04-10 22:19:30
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,52,28,babawere,2026-04-10 22:19:30
47720579,Peers vote to ban pornography depicting sex acts between stepfamily members,entertainment,6,0,azalemeth,2026-04-10 22:19:30
47709158,Charcuterie – Visual similarity Unicode explorer,technology,289,67,rickcarlino,2026-04-10 22:19:30
47720060,Why I'm Building a Database Engine in C#,technology,10,2,vyrotek,2026-04-10 22:19:30
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,technology,374,269,smurda,2026-04-10 22:19:30
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,technology,95,23,manzt,2026-04-10 22:19:30
47686046,The Art of Risk Management (2017),entertainment,42,13,walterbell,2026-04-10 22:19:30
47716809,"Intel 486 CPU announced April 10, 1989",technology,119,113,jnord,2026-04-10 22:19:30
47707477,Old laptops in a colo as low cost servers,technology,369,220,argentum47,2026-04-10 22:19:30
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,23,5,qvac,2026-04-10 22:19:30
47706140,Unfolder for Mac – A 3D model unfolding tool for creating papercraft,sports,293,56,codazoda,2026-04-10 22:19:30
47674894,Model-Based Testing for Dungeons & Dragons,worldnews,89,58,Firfi,2026-04-10 22:19:30
